NUM_PASAJEROS;ANIO;MES;DIA;ZONA_FNC_GROUP_2;EsEscolar;EsFestivo
95;2018;2;2;CONVENIOS CABILDO-AYTOS.;1;1
54082;2018;2;2;CPI-CABILDO;1;1
135;2018;2;3;CONVENIOS CABILDO-AYTOS.;1;0
12986;2018;2;3;ENCOMIENDA USC-AYTO.SC;1;0
633;2018;2;3;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
62480;2018;2;3;CPI-CABILDO;1;0
440;2018;2;4;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
9546;2018;2;4;ENCOMIENDA USC-AYTO.SC;1;0
91;2018;2;4;CONVENIOS CABILDO-AYTOS.;1;0
47684;2018;2;4;CPI-CABILDO;1;0
30076;2018;2;5;ENCOMIENDA USC-AYTO.SC;1;0
98297;2018;2;5;CPI-CABILDO;1;0
2834;2018;2;5;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
690;2018;2;5;CONVENIOS CABILDO-AYTOS.;1;0
97987;2018;2;6;CPI-CABILDO;1;0
2857;2018;2;6;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
29589;2018;2;6;ENCOMIENDA USC-AYTO.SC;1;0
638;2018;2;6;CONVENIOS CABILDO-AYTOS.;1;0
27434;2018;2;7;ENCOMIENDA USC-AYTO.SC;1;0
92591;2018;2;7;CPI-CABILDO;1;0
2745;2018;2;7;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
603;2018;2;7;CONVENIOS CABILDO-AYTOS.;1;0
2583;2018;2;8;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
27687;2018;2;8;ENCOMIENDA USC-AYTO.SC;1;0
570;2018;2;8;CONVENIOS CABILDO-AYTOS.;1;0
92884;2018;2;8;CPI-CABILDO;1;0
97801;2018;2;9;CPI-CABILDO;1;0
27319;2018;2;9;ENCOMIENDA USC-AYTO.SC;1;0
2503;2018;2;9;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
568;2018;2;9;CONVENIOS CABILDO-AYTOS.;1;0
637;2018;2;10;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
